Alpha,K,Test Accuracy
0.8,20,0.4
0.8,40,0.72
0.8,60,0.85
0.85,20,0.38
0.85,40,0.625
0.85,60,0.77
0.9,20,0.375
0.9,40,0.55
0.9,60,0.695
0.95,20,0.38
0.95,40,0.65
0.95,60,0.82
